title,year,duration,pg,rating,url
O Homem Elefante,1980,2h 4m,10,"8,2",https://www.imdb.com/pt/title/tt0080678/?ref_=chttp_t_160
Disque M para Matar,1954,1h 45m,16,"8,2",https://www.imdb.com/pt/title/tt0046912/?ref_=chttp_t_161
Klaus,2019,1h 36m,10,"8,2",https://www.imdb.com/pt/title/tt4729430/?ref_=chttp_t_162
...E o Vento Levou,1939,3h 58m,Livre,"8,2",https://www.imdb.com/pt/title/tt0031381/?ref_=chttp_t_163
Chinatown,1974,2h 10m,12,"8,1",https://www.imdb.com/pt/title/tt0071315/?ref_=chttp_t_164
Rashomon,1950,1h 28m,14,"8,2",https://www.imdb.com/pt/title/tt0042876/?ref_=chttp_t_165
O Segredo dos Seus Olhos,2009,2h 9m,16,"8,2",https://www.imdb.com/pt/title/tt1305806/?ref_=chttp_t_166
"Jogos, Trapaças e Dois Canos Fumegantes",1998,1h 47m,18,"8,1",https://www.imdb.com/pt/title/tt0120735/?ref_=chttp_t_167
V de Vingança,2005,2h 12m,16,"8,1",https://www.imdb.com/pt/title/tt0434409/?ref_=chttp_t_168
Divertida Mente,2015,1h 35m,Livre,"8,1",https://www.imdb.com/pt/title/tt2096673/?ref_=chttp_t_169
Três Anúncios para um Crime,2017,1h 55m,16,"8,1",https://www.imdb.com/pt/title/tt5027774/?ref_=chttp_t_170
A Ponte do Rio Kwai,1957,2h 41m,12,"8,1",https://www.imdb.com/pt/title/tt0050212/?ref_=chttp_t_171
Prenda-Me se for Capaz,2002,2h 21m,12,"8,1",https://www.imdb.com/pt/title/tt0264464/?ref_=chttp_t_172
Trainspotting: Sem Limites,1996,1h 33m,18,"8,1",https://www.imdb.com/pt/title/tt0117951/?ref_=chttp_t_173
Touro Indomável,1980,2h 9m,16,"8,1",https://www.imdb.com/pt/title/tt0081398/?ref_=chttp_t_174
Robô Selvagem,2024,1h 42m,Livre,"8,2",https://www.imdb.com/pt/title/tt29623480/?ref_=chttp_t_175
Fargo: Uma Comédia de Erros,1996,1h 38m,18,"8,1",https://www.imdb.com/pt/title/tt0116282/?ref_=chttp_t_176
Guerreiro,2011,2h 20m,12,"8,1",https://www.imdb.com/pt/title/tt1291584/?ref_=chttp_t_177
Harry Potter e as Relíquias da Morte - Parte 2,2011,2h 10m,12,"8,1",https://www.imdb.com/pt/title/tt1201607/?ref_=chttp_t_178
Gran Torino,2008,1h 56m,14,"8,1",https://www.imdb.com/pt/title/tt1205489/?ref_=chttp_t_179
Menina de Ouro,2004,2h 12m,12,"8,1",https://www.imdb.com/pt/title/tt0405159/?ref_=chttp_t_180
Ben-Hur,1959,3h 32m,12,"8,1",https://www.imdb.com/pt/title/tt0052618/?ref_=chttp_t_181
Mad Max: Estrada da Fúria,2015,2h,16,"8,1",https://www.imdb.com/pt/title/tt1392190/?ref_=chttp_t_182
Meu Amigo Totoro,1988,1h 26m,Livre,"8,1",https://www.imdb.com/pt/title/tt0096283/?ref_=chttp_t_183
Barry Lyndon,1975,3h 5m,Livre,"8,1",https://www.imdb.com/pt/title/tt0072684/?ref_=chttp_t_184
Sociedade dos Poetas Mortos,1989,2h 8m,12,"8,1",https://www.imdb.com/pt/title/tt0097165/?ref_=chttp_t_185
Homem-Aranha: Sem Volta para Casa,2021,2h 28m,12,"8,2",https://www.imdb.com/pt/title/tt10872600/?ref_=chttp_t_186
Filhos do Paraíso,1997,1h 29m,Livre,"8,2",https://www.imdb.com/pt/title/tt0118849/?ref_=chttp_t_187
12 Anos de Escravidão,2013,2h 14m,14,"8,1",https://www.imdb.com/pt/title/tt2024544/?ref_=chttp_t_188
Até o Último Homem,2016,2h 19m,16,"8,1",https://www.imdb.com/pt/title/tt2119532/?ref_=chttp_t_189
O Grande Hotel Budapeste,2014,1h 39m,14,"8,1",https://www.imdb.com/pt/title/tt2278388/?ref_=chttp_t_190
Antes do Amanhecer,1995,1h 41m,12,"8,1",https://www.imdb.com/pt/title/tt0112471/?ref_=chttp_t_191
Blade Runner: O Caçador de Andróides,1982,1h 57m,14,"8,1",https://www.imdb.com/pt/title/tt0083658/?ref_=chttp_t_192
Memórias de um Assassino,2003,2h 11m,14,"8,1",https://www.imdb.com/pt/title/tt0353969/?ref_=chttp_t_193
Garota Exemplar,2014,2h 29m,14,"8,1",https://www.imdb.com/pt/title/tt2267998/?ref_=chttp_t_194
Ratatouille,2007,1h 51m,Livre,"8,1",https://www.imdb.com/pt/title/tt0382932/?ref_=chttp_t_195
Monstros S.A.,2001,1h 32m,Livre,"8,1",https://www.imdb.com/pt/title/tt0198781/?ref_=chttp_t_196
Em Nome do Pai,1993,2h 13m,16,"8,1",https://www.imdb.com/pt/title/tt0107207/?ref_=chttp_t_197
